Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,px_obs,end_points,branch_points,areole_num,areole_pix,skel_length_new_mm,area_obs_mmsq,vein_dens_mm2,Date.Created,Lf3_wetMg,Lf4_wetMg,dry_shootsG,Lf4_dryMg,Photo,Cond,Fo,Fm,Fs,Fv,FvFm,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,SLA,Lf3_dryMg_pred,LMA
722,722B,B,3,CGN14070,oleracea,parent,8.20E-05,0.000150966,1.84,10839257,197,412,114,78398.05263,141.0804425,20.45215371,5.573985098,4/21/14,1543.8,1205.3,0.19,96.2,27.104242,0.49526562,359.5996094,703.6999512,517.3537598,344.1003418,0.488987304,5,195.179,151.675,167766.238,91.711,56.437,62023.895,65.844,13.521,25719.387,39.683,5.291,20393.388,32.803,36.719,6.411122323,0.340987526,117.9159014,3.594668214
731,731B,B,3,Ames 2795 ,rapa,parent,0.000134557,0.000216604,1.609756098,5472721,265,978,363,13167.25895,310.6920996,45.19141484,8.032499122,4/16/14,959.4,266.6,0.12,36.8,21.942204,0.39672757,348.6047363,711.7407227,526.2316895,363.1359863,0.510208247,3,113.811,96.447,109083.826,79.487,52.095,68048.985,23.826,7.11,19452.454,15.873,5.364,15352.003,24.791,39.829,7.999307282,0.673668478,83.0496827,3.349993252
732,732B,B,3,CGN14113,napus,hybrid,6.56E-05,0.000131275,2,5543872,260,499,136,30919.23529,235.4253461,45.7789497,2.970797733,4/21/14,1260.5,652.6,0.09,44,20.032299,0.28133984,314.3520508,588.5603027,456.6003418,274.208252,0.469763272,3,156.803,101.962,131310.869,97.577,68.267,83678.602,35.108,10.582,22351.465,21.164,10.655,15822.47,29.878,37.871,6.928369027,0.679045455,101.01378,3.380874891
749,749B,B,3,CGN07230,napus,hybrid,8.53E-05,0.000173939,2.038461538,6194001,146,386,123,39267.12195,213.6507572,51.14743995,2.404812443,4/21/14,2010.6,1287.9,0.21,74.5,14.717031,0.08834469,293.9672852,515.4196777,410.0209961,221.4523926,0.429654517,4,171.664,141.093,151026.63,90.543,64.668,73410.754,34.098,5.879,19598.649,32.922,8.23,18523.962,47.473,53.753,7.801522564,0.637221477,145.76592,3.070501549
774,774B,B,4,PI 459016 ,rapa,parent,0.00015753,0.000177221,1.125,4814567,375,863,249,16192.32932,280.2477909,39.75665753,6.263101967,4/23/14,639.5,632.5,0.05,33.8,25.975818,0.44611572,545.388916,1092.840698,771.1376953,547.4517822,0.537359489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.17,38.543,9.042073883,0.537573964,63.96394799,3.520305338
781,781B,B,4,PI 257240,juncea,hybrid,6.89E-05,0.000144402,2.095238095,6791864,197,460,134,38308.68657,238.3349158,56.08433968,2.389258762,4/21/14,4069.7,3744.6,0.23,205,19.023507,0.14003395,308.532959,591.2402344,458.5568848,282.7072754,0.478159738,4,164.609,101.124,137597.243,76.426,45.855,49451.148,41.152,9.406,26935.603,14.109,8.818,15237.691,74.018,46.829,5.443098716,0.361063415,268.615049,3.629050352
782,782B,B,4,PI 459020 ,rapa,parent,3.94E-05,0.000144402,NA,5076613,105,253,77,52179.62338,156.5176205,41.92052254,1.836809165,4/25/14,908.7,568.6,0.2,31.9,24.362927,0.58915258,325.9946289,719.328125,539.7817383,393.3334961,0.54680678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.317,39.363,7.673084837,0.824984326,80.02484135,3.040804094
822,822B,B,4,CGN17374,napus,hybrid,0.000111584,0.000154248,1.382352941,4808797,418,1182,406,9880.866005,353.0838771,42.6581965,9.517514412,4/13/14,1164.9,570.1,0.18,55.6,23.287207,0.34210485,292.5505371,567.9829102,416.833252,275.432373,0.48493074,3,117.578,98.765,103299.024,71.723,43.504,53554.709,43.504,8.23,19722.292,24.691,9.41,18256.457,28.732,48.494,9.047010185,0.51676259,95.31013435,3.317211971
835,835B,B,4,CGN07145,rapa,parent,9.19E-05,0.000167376,1.821428571,5031722,240,455,131,27256.03053,227.3177156,44.63573443,2.934868255,4/20/14,5379.4,3274.2,0.54,195.1,24.840447,0.26389232,479.3933105,932.9456787,679.8183594,453.5523682,0.486150886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.051,68.084,6.806664522,0.512819067,346.7538009,3.465770466
846,846B,B,4,PI 633094,juncea,hybrid,0.000154248,0.000236295,1.531914894,2492680,204,678,259,8028.833977,198.7348426,22.11223166,11.71297425,4/17/14,2895.9,2952.3,0.27,230.6,32.286896,0.75409716,368.3635254,828.104248,536.7348633,459.7407227,0.555172521,3,143.782,117.337,128460.072,95.385,70.547,79892.314,38.174,7.272,22239.486,37.413,8.685,18942.328,62.762,60.201,7.598980291,0.272168257,198.5843037,3.164085015
