Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,B_end_points,M_end_points,T_end_points,B_branch_points,M_branch_points,T_branch_points,B_areole_num,M_areole_num,T_areole_num,B_skel_length_new_mm,M_skel_length_new_mm,T_skel_length_new_mm,B_areole_area_new_mmsq,M_areole_area_new_mmsq,T_areole_area_new_mmsq,B_vein_dens_mm2,M_vein_dens_mm2,T_vein_dens_mm2,dry_shootsG,Photo,Cond,WUE,Fo,Fm,Fs,Fv,FvFm,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,Palisade_spongy,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,LMA
982,982B,B,4,CGN14113,napus,hybrid,6.56E-05,0.000134557,2.05,166,176,103,441,373,216,141,101,61,213.5271258,196.7181419,146.5024088,0.259740373,0.366977386,0.512269745,3.154436439,2.259560997,1.364685268,0.31,32.344048,0.49954562,51.02162996,NA,NA,NA,6.302734375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.723,48.179,6.083371943,3.370558491
999,999B,B,4,CGN07230,napus,hybrid,6.24E-05,0.000108302,1.736842105,156,127,145,330,243,245,93,65,58,129.5634366,115.4053191,112.4467492,0.18206649,0.255928352,0.230711208,4.100263591,2.827115014,2.519410947,0.26,26.190549,0.63392816,83.38418261,465.8984375,924.487915,667.4064941,458.5894775,0.496047022,4,219.871,181.07,199353.633,114.051,76.426,94225.619,2.11570521,51.73,9.41,19106.408,22.34,9.406,15449.984,71.998,67.336,7.935733922,3.224973797
1024,1024B,B,5,PI 459016 ,rapa,parent,0.000114866,0.000160812,1.4,178,240,325,414,525,614,125,146,158,132.7863767,165.5015374,174.6050599,0.124411507,0.125083695,0.115232246,6.519062337,6.342730721,6.982117413,0.11,22.504176,0.31409493,54.10351804,329.0385742,660.5300293,487.2485352,331.4914551,0.499853004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.422,37.592,9.572493555,4.269052078
1032,1032B,B,5,PI 459020 ,rapa,parent,0.000134557,0.000193631,1.43902439,332,346,152,864,810,378,276,237,120,211.5327958,189.4690755,136.266984,0.070433931,0.073752544,0.142169288,12.04739632,11.39924707,5.854881091,0.11,29.625432,0.41594663,84.60956347,532.3029785,1136.420654,726.9505615,604.1176758,0.531596881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.812,27.969,7.033695063,3.847564001
1059,1059B,B,5,CGN06710 ,rapa,parent,9.85E-05,0.000190349,1.933333333,290,256,234,628,564,438,178,165,108,181.1511502,169.0518055,146.1020406,0.106645143,0.111998346,0.163155437,7.8238477,7.168154582,4.707094658,0.06,22.828649,0.35014283,60.99261836,355.3864746,702.7446289,511.6821289,347.3581543,0.494287882,3,137.795,80.266,111938.511,86.532,62.61,74486.996,1.502792662,20.301,8.818,19853.712,30.864,7.272,16497.454,23.721,42.333,8.691856544,3.340638036
1072,1072B,B,5,CGN17374,napus,hybrid,0.000134557,0.000216604,1.609756098,478,335,203,1468,796,373,520,240,92,276.3006538,205.3726947,140.9163108,0.038064463,0.076691014,0.184576625,22.73028487,10.50848308,4.065435705,0.13,17.99885,0.37428544,39.55618553,353.9882813,652.4458008,520.6591797,298.4575195,0.457444157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.429,38.24,6.613878173,2.993185406
1085,1085B,B,5,CGN07145,rapa,parent,0.000147684,0.000206758,1.4,266,276,280,541,495,471,148,125,104,165.4166254,162.1825741,153.2772607,0.116874581,0.131721895,0.147019511,6.455002809,5.433580688,4.561040167,0.51,29.035072,0.45501986,51.67080658,NA,NA,NA,3.540771484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.272,65.723,6.995292775,3.205858257
1096,1096B,B,5,PI 633094,juncea,hybrid,9.19E-05,0.000193631,2.107142857,206,243,211,642,547,510,224,159,159,254.2029209,238.2630841,232.0116327,0.159031233,0.215645745,0.217719129,5.050886945,3.578270022,3.568595287,1.11,34.546173,0.56192411,123.534026,306.6835938,723.5285645,452.7263184,416.8449707,0.57612787,3,170.488,131.687,154704.36,131.687,83.48,112806.348,1.371415375,56.437,9.406,21611.159,25.867,5.879,22614.304,91.892,NA,9.972740018,3.770895776
1101,1101B,B,5,CGN07129,oleracea,parent,0.000183785,0.000249422,1.357142857,466,294,291,1425,1131,995,512,429,NA,404.8766931,341.189575,329.54259,0.07255312,0.087483535,0.102699089,11.51626516,9.697869802,8.216632316,0.28,19.28373,0.27964905,45.22799188,339.8969727,629.0698242,485.8010254,289.1728516,0.459683235,4,106.996,79.953,99954.431,94.062,56.437,70795.579,1.411873911,12.93,7.937,13739.195,11.758,4.409,12611.629,40.801,42.243,6.613317137,3.313786991
1113,1113B,B,5,CGN06619,nigra,parent,5.25E-05,0.000131275,2.5,204,201,192,461,485,449,133,148,140,219.2795597,226.6176594,222.5489838,0.246481696,0.235437294,0.248834207,3.024766268,3.333298701,3.172134057,0.15,26.088011,0.42636715,58.96740007,269.2497559,542.4401855,371.9521484,273.1904297,0.503632358,3,123.485,107.674,118976.855,59.971,28.232,49530.466,2.4020944,30.915,10.582,20312.515,31.795,7.937,18967.212,18.007,32.495,7.657656108,3.230455379
